name,lon,lat,tipo_geometria,pais,fecha_descarga
Santi,-0.4797986,38.3402081,Point,España,2026-03-04 13:06:55.752367
Qué Rico,-0.4802152,38.3399742,Point,España,2026-03-04 13:06:55.752367
Reina's,-0.4112741,38.3705446,Point,España,2026-03-04 13:06:55.752367
La Familia,-0.4524293,38.3591587,Point,España,2026-03-04 13:06:55.752367
Chiringuito de playa,-0.4443379,38.3632154,Point,España,2026-03-04 13:06:55.752367
Casa Filo,-0.4407412,38.3677711,Point,España,2026-03-04 13:06:55.752367
el garaje bar,-0.485479,38.3437465,Point,España,2026-03-04 13:06:55.752367
Asador La Estancia,-0.4742009,38.35004,Point,España,2026-03-04 13:06:55.752367
Le Sol,-0.4438161,38.3693171,Point,España,2026-03-04 13:06:55.752367
Chico Calla,-0.413723,38.3660277,Point,España,2026-03-04 13:06:55.752367
Sento,-0.4425044,38.3639858,Point,España,2026-03-04 13:06:55.752367
Pizzeria Popeye,-0.4144491,38.37011,Point,España,2026-03-04 13:06:55.752367
Las Brasas,-0.4311302,38.362657,Point,España,2026-03-04 13:06:55.752367
100 Montaditos,-0.4837826,38.3456817,Point,España,2026-03-04 13:06:55.752367
,-0.4123177,38.3697625,Point,España,2026-03-04 13:06:55.752367
el cielo,-0.4231065,38.3627292,Point,España,2026-03-04 13:06:55.752367
Las Brasas De San Miguel,-0.4833339,38.3454779,Point,España,2026-03-04 13:06:55.752367
Demordisco,-0.4884099,38.3493091,Point,España,2026-03-04 13:06:55.752367
Barrazero,-0.4124019,38.3817326,Point,España,2026-03-04 13:06:55.752367
Bharat,-0.4168787,38.3844063,Point,España,2026-03-04 13:06:55.752367
Kenzo,-0.4122589,38.3820964,Point,España,2026-03-04 13:06:55.752367
Don tapitas,-0.5082728,38.3309499,Point,España,2026-03-04 13:06:55.752367
La Montañeta,-0.4886564,38.3448964,Point,España,2026-03-04 13:06:55.752367
Restobar Gemma Penalva,-0.487582,38.3429903,Point,España,2026-03-04 13:06:55.752367
Restaurante Pópuli,-0.4452434,38.3702085,Point,España,2026-03-04 13:06:55.752367
The Plaice in the Corner,-0.4817233,38.3456833,Point,España,2026-03-04 13:06:55.752367
Sale & Pepe Centro,-0.4826738,38.3450668,Point,España,2026-03-04 13:06:55.752367
Sale & Pepe,-0.4854117,38.3455411,Point,España,2026-03-04 13:06:55.752367
Kento Shop,-0.4904191,38.3452777,Point,España,2026-03-04 13:06:55.752367
El Mar,-0.5209283,38.2826842,Point,España,2026-03-04 13:06:55.752367
el Saladar,-0.5209336,38.2825874,Point,España,2026-03-04 13:06:55.752367
Charlies,-0.483286,38.3453738,Point,España,2026-03-04 13:06:55.752367
Miss Sushi,-0.484919,38.3439947,Point,España,2026-03-04 13:06:55.752367
Sal y Pepe,-0.4827589,38.3451947,Point,España,2026-03-04 13:06:55.752367
Goiko Grill,-0.4882346,38.3474837,Point,España,2026-03-04 13:06:55.752367
Cocinalia,-0.4879773,38.3474092,Point,España,2026-03-04 13:06:55.752367
Da Nonna Nina,-0.4885114,38.3412753,Point,España,2026-03-04 13:06:55.752367
Las piramides,-0.4821192,38.3591127,Point,España,2026-03-04 13:06:55.752367
